,Grid_ID,Flikr_X,Flikr_Y,Flikr_ID,Island,Flikr_ID_statewide
0,20_28,-157.249831896,21.1913810915,flk_2413,Maui,flk_2413_Maui
1,23_84,-157.083697561,21.1918363715,flk_2432,Maui,flk_2432_Maui
2,23_85,-157.081319484,21.1895514604,flk_2415,Maui,flk_2415_Maui
3,24_86,-157.078912296,21.1895241068,flk_2416,Maui,flk_2416_Maui
4,24_87,-157.076505112,21.1894967189,flk_2417,Maui,flk_2417_Maui
5,25_79,-157.102897868,21.1965689513,flk_2467,Maui,flk_2467_Maui
6,25_87,-157.076505112,21.1894967189,flk_2417,Maui,flk_2417_Maui
7,26_30,-157.249885072,21.186865486,flk_2377,Maui,flk_2377_Maui
8,26_79,-157.102897868,21.1965689513,flk_2467,Maui,flk_2467_Maui
9,26_82,-157.095704824,21.1942300776,flk_2446,Maui,flk_2446_Maui
10,26_83,-157.088512029,21.191890914,flk_2430,Maui,flk_2430_Maui
11,26_88,-157.074097933,21.1894692967,flk_2418,Maui,flk_2418_Maui
12,26_89,-157.069283585,21.1894143496,flk_2420,Maui,flk_2420_Maui
13,27_28,-157.249885072,21.186865486,flk_2377,Maui,flk_2377_Maui
14,27_29,-157.249885072,21.186865486,flk_2377,Maui,flk_2377_Maui
15,27_30,-157.249885072,21.186865486,flk_2377,Maui,flk_2377_Maui
16,27_31,-157.249885072,21.186865486,flk_2377,Maui,flk_2377_Maui
17,27_83,-157.088512029,21.191890914,flk_2430,Maui,flk_2430_Maui
18,27_84,-157.086104793,21.1918636599,flk_2431,Maui,flk_2431_Maui
19,27_90,-157.066876416,21.1893868247,flk_2421,Maui,flk_2421_Maui
20,28_29,-157.249885072,21.186865486,flk_2377,Maui,flk_2377_Maui
21,28_75,-157.112555915,21.1944191997,flk_2439,Maui,flk_2439_Maui
22,28_80,-157.100490537,21.1965418964,flk_2468,Maui,flk_2468_Maui
23,28_84,-157.086104793,21.1918636599,flk_2431,Maui,flk_2431_Maui
24,28_91,-157.064498654,21.1871016988,flk_2397,Maui,flk_2397_Maui
25,28_92,-157.064498654,21.1871016988,flk_2397,Maui,flk_2397_Maui
26,29_30,-157.249885072,21.186865486,flk_2377,Maui,flk_2377_Maui
27,29_33,-157.249885072,21.186865486,flk_2377,Maui,flk_2377_Maui
28,29_74,-157.114934583,21.1967037116,flk_2466,Maui,flk_2466_Maui
29,29_76,-157.110148605,21.194392285,flk_2440,Maui,flk_2440_Maui
30,29_77,-157.107741299,21.1943653361,flk_2441,Maui,flk_2441_Maui
