,FID,Field1,FID_,TMK,OSDS_QTY,CLASS_I,CLASS_II,CLASS_III,CLASS_IV,EFFLUENT,N_FLUX,P_FLUX,SOURCE,NO_STRUCT,TTL_BDRMS,NO_BATH,X,Y,Island,OSDS_TYP,B_ROOMS,BATHS,Class_type,commercial,type,OSDS_QTY_c,OSDS_QTY_calc
0,16,29368,29368,251006072,2.0,0.0,0.0,0.0,2.0,2000.0,0.457985,0.124905,DWELDAT Database,2.0,10.0,7.0,-157.252153325,21.1728862093,Molokai,Cesspool,0.0,0.0, , , ,2.0,2.0
0,27,29421,29421,251007041,2.0,0.0,0.0,0.0,2.0,900.0,0.206093,0.056207,Cesspool Database,1.0,0.0,3.0,-157.27062669,21.1532579356,Molokai,Cesspool,0.0,0.0, , , ,2.0,2.0
0,29,29427,29427,251007054,2.0,0.0,0.0,0.0,2.0,600.0,0.137396,0.037471,DWELDAT Database,2.0,3.0,5.0,-157.26650418399998,21.1599320664,Molokai,Cesspool,0.0,0.0, , , ,2.0,2.0
0,33,29437,29437,254011052,2.0,0.0,0.0,0.0,2.0,1000.0,0.228992,0.062453,DWELDAT Database,2.0,5.0,2.0,-156.98632297,21.0778990592,Molokai,Cesspool,0.0,0.0, , , ,2.0,2.0
0,57,29471,29471,252002025,2.0,0.0,0.0,0.0,2.0,1000.0,0.228992,0.062453,DWELDAT Database,2.0,5.0,3.0,-157.104482365,21.1657183604,Molokai,Cesspool,0.0,0.0, , , ,2.0,2.0
0,61,29477,29477,252004010,2.0,0.0,0.0,0.0,2.0,800.0,0.183194,0.049962,DWELDAT Database,2.0,4.0,2.0,-157.071549842,21.1498180976,Molokai,Cesspool,0.0,0.0, , , ,2.0,2.0
0,91,29523,29523,252004011,2.0,0.0,0.0,0.0,2.0,600.0,0.137396,0.037471,DWELDAT Database,2.0,3.0,2.0,-157.074337175,21.1502743075,Molokai,Cesspool,0.0,0.0, , , ,2.0,2.0
0,92,29524,29524,252007009,2.0,0.0,0.0,0.0,2.0,1200.0,0.274791,0.074943,DWELDAT Database,2.0,6.0,2.0,-157.063639848,21.1645463616,Molokai,Cesspool,0.0,0.0, , , ,2.0,2.0
0,95,29529,29529,252022012,2.0,0.0,0.0,0.0,2.0,800.0,0.183194,0.049962,DWELDAT Database,2.0,4.0,3.0,-157.074700477,21.1736379589,Molokai,Cesspool,0.0,0.0, , , ,2.0,2.0
0,96,29530,29530,252022013,2.0,0.0,0.0,0.0,2.0,1400.0,0.32059,0.087433,DWELDAT Database,2.0,7.0,3.0,-157.0762772,21.1739703296,Molokai,Cesspool,0.0,0.0, , , ,2.0,2.0
0,97,29531,29531,252022014,2.0,0.0,0.0,0.0,2.0,1400.0,0.32059,0.087433,DWELDAT Database,2.0,7.0,3.0,-157.077932145,21.1737486554,Molokai,Cesspool,0.0,0.0, , , ,2.0,2.0
0,99,29533,29533,252022016,2.0,0.0,0.0,0.0,2.0,1200.0,0.274791,0.074943,DWELDAT Database,2.0,6.0,2.0,-157.080898775,21.1749086466,Molokai,Cesspool,0.0,0.0, , , ,2.0,2.0
0,100,29534,29534,252022017,2.0,0.0,0.0,0.0,2.0,800.0,0.183194,0.049962,DWELDAT Database,2.0,4.0,2.0,-157.08236827599998,21.1753490917,Molokai,Cesspool,0.0,0.0, , , ,2.0,2.0
0,116,29553,29553,252023020,2.0,0.0,0.0,0.0,2.0,1200.0,0.274791,0.074943,DWELDAT Database,2.0,6.0,3.0,-157.075837068,21.1687726136,Molokai,Cesspool,0.0,0.0, , , ,2.0,2.0
0,121,29559,29559,252023028,2.0,0.0,0.0,0.0,2.0,600.0,0.137396,0.037471,DWELDAT Database,2.0,3.0,3.0,-157.083087067,21.1662264014,Molokai,Cesspool,0.0,0.0, , , ,2.0,2.0
0,137,29582,29582,252001011,2.0,0.0,0.0,0.0,2.0,1400.0,0.32059,0.087433,IWS Database,1.0,7.0,1.0,-157.09546995899998,21.1466725278,Molokai,Cesspool,0.0,0.0, , , ,2.0,2.0
0,160,29611,29611,252004056,2.0,0.0,0.0,0.0,2.0,1200.0,0.274791,0.074943,DWELDAT Database,2.0,6.0,4.0,-157.095652645,21.157786279,Molokai,Cesspool,0.0,0.0, , , ,2.0,2.0
0,193,29673,29673,252017005,2.0,0.0,0.0,0.0,2.0,800.0,0.183194,0.049962,DWELDAT Database,2.0,4.0,2.0,-157.06316657899998,21.1802248204,Molokai,Cesspool,0.0,0.0, , , ,2.0,2.0
0,219,29703,29703,254006033,2.0,0.0,0.0,0.0,2.0,1000.0,0.228992,0.062453,DWELDAT Database,2.0,5.0,3.0,-156.988784203,21.0768613984,Molokai,Cesspool,0.0,0.0, , , ,2.0,2.0
0,222,29706,29706,252007011,2.0,0.0,0.0,0.0,2.0,1200.0,0.274791,0.074943,DWELDAT Database,2.0,6.0,3.0,-157.066464107,21.1664761205,Molokai,Cesspool,0.0,0.0, , , ,2.0,2.0
0,225,29709,29709,252007020,2.0,0.0,0.0,0.0,2.0,400.0,0.091597,0.024981,DWELDAT Database,2.0,2.0,2.0,-157.061116842,21.1747965825,Molokai,Cesspool,0.0,0.0, , , ,2.0,2.0
0,229,29713,29713,252007028,2.0,0.0,0.0,0.0,2.0,1200.0,0.274791,0.074943,DWELDAT Database,2.0,6.0,3.0,-157.043186306,21.1644823846,Molokai,Cesspool,0.0,0.0, , , ,2.0,2.0
0,275,29768,29768,252007094,2.0,0.0,0.0,0.0,2.0,800.0,0.183194,0.049962,DWELDAT Database,2.0,4.0,2.0,-157.06270074,21.1671329738,Molokai,Cesspool,0.0,0.0, , , ,2.0,2.0
0,290,29785,29785,252022002,2.0,0.0,0.0,0.0,2.0,1200.0,0.274791,0.074943,DWELDAT Database,2.0,6.0,3.0,-157.069986466,21.1726294048,Molokai,Cesspool,0.0,0.0, , , ,2.0,2.0
0,298,29793,29793,252024001,2.0,0.0,0.0,0.0,2.0,800.0,0.183194,0.049962,DWELDAT Database,2.0,4.0,3.0,-157.085963786,21.1679389009,Molokai,Cesspool,0.0,0.0, , , ,2.0,2.0
0,304,29800,29800,252023016,2.0,0.0,0.0,0.0,2.0,1000.0,0.228992,0.062453,DWELDAT Database,2.0,5.0,3.0,-157.07508233299998,21.1650886137,Molokai,Cesspool,0.0,0.0, , , ,2.0,2.0
0,308,29809,29809,252008028,2.0,0.0,0.0,0.0,2.0,1000.0,0.228992,0.062453,DWELDAT Database,2.0,5.0,2.0,-157.033776656,21.0965853616,Molokai,Cesspool,0.0,0.0, , , ,2.0,2.0
0,316,29819,29819,252008041,2.0,0.0,0.0,0.0,2.0,1200.0,0.274791,0.074943,DWELDAT Database,2.0,6.0,2.0,-157.042872608,21.1033344395,Molokai,Cesspool,0.0,0.0, , , ,2.0,2.0
0,323,29828,29828,254010017,2.0,0.0,0.0,0.0,2.0,400.0,0.091597,0.024981,DWELDAT Database,2.0,2.0,3.0,-156.99729255399998,21.0840912919,Molokai,Cesspool,0.0,0.0, , , ,2.0,2.0
0,324,29830,29830,254010019,2.0,0.0,0.0,0.0,2.0,1000.0,0.228992,0.062453,DWELDAT Database,2.0,5.0,3.0,-156.997037374,21.0844653598,Molokai,Cesspool,0.0,0.0, , , ,2.0,2.0
0,361,29875,29875,252021005,2.0,0.0,0.0,0.0,2.0,1200.0,0.274791,0.074943,DWELDAT Database,2.0,6.0,2.0,-157.070889588,21.1819062018,Molokai,Cesspool,0.0,0.0, , , ,2.0,2.0
0,366,29885,29885,256011023,2.0,0.0,0.0,0.0,2.0,800.0,0.183194,0.049962,DWELDAT Database,2.0,4.0,3.0,-156.877457588,21.048032021,Molokai,Cesspool,0.0,0.0, , , ,2.0,2.0
0,393,29924,29924,257007034,2.0,0.0,0.0,0.0,2.0,1200.0,0.274791,0.074943,DWELDAT Database,2.0,6.0,2.0,-156.795743313,21.0737565421,Molokai,Cesspool,0.0,0.0, , , ,2.0,2.0
0,394,29925,29925,252024010,2.0,0.0,0.0,0.0,2.0,1000.0,0.228992,0.062453,DWELDAT Database,2.0,5.0,4.0,-157.097223942,21.169167749,Molokai,Cesspool,0.0,0.0, , , ,2.0,2.0
0,398,29929,29929,252025004,2.0,0.0,0.0,0.0,2.0,1400.0,0.32059,0.087433,DWELDAT Database,2.0,7.0,3.0,-157.087160427,21.1761996486,Molokai,Cesspool,0.0,0.0, , , ,2.0,2.0
0,400,29933,29933,257004001,2.0,0.0,0.0,0.0,2.0,800.0,0.183194,0.049962,DWELDAT Database,2.0,4.0,3.0,-156.770208387,21.0900094719,Molokai,Cesspool,0.0,0.0, , , ,2.0,2.0
0,428,29974,29974,252026012,2.0,0.0,0.0,0.0,2.0,600.0,0.137396,0.037471,DWELDAT Database,2.0,3.0,2.0,-157.11081530799999,21.1812765601,Molokai,Cesspool,0.0,0.0, , , ,2.0,2.0
0,447,29994,29994,254017040,2.0,0.0,0.0,0.0,2.0,1200.0,0.274791,0.074943,DWELDAT Database,2.0,6.0,4.0,-156.971455914,21.07065871,Molokai,Cesspool,0.0,0.0, , , ,2.0,2.0
0,453,30010,30010,257003081,2.0,0.0,0.0,0.0,2.0,1200.0,0.274791,0.074943,DWELDAT Database,2.0,6.0,4.0,-156.753283743,21.1012472951,Molokai,Cesspool,0.0,0.0, , , ,2.0,2.0
0,462,30019,30019,254006058,2.0,0.0,0.0,0.0,2.0,1000.0,0.228992,0.062453,DWELDAT Database,2.0,5.0,3.0,-156.988512325,21.0767612045,Molokai,Cesspool,0.0,0.0, , , ,2.0,2.0
0,495,30056,30056,254008005,2.0,0.0,0.0,0.0,2.0,1000.0,0.228992,0.062453,DWELDAT Database,2.0,5.0,2.0,-157.009860351,21.082252836,Molokai,Cesspool,0.0,0.0, , , ,2.0,2.0
0,545,30122,30122,252007003,2.0,0.0,0.0,0.0,2.0,1200.0,0.274791,0.074943,DWELDAT Database,2.0,6.0,3.0,-157.054046222,21.1624193078,Molokai,Cesspool,0.0,0.0, , , ,2.0,2.0
0,548,30125,30125,252007007,2.0,0.0,0.0,0.0,2.0,1200.0,0.274791,0.074943,DWELDAT Database,2.0,6.0,4.0,-157.060413004,21.1643568148,Molokai,Cesspool,0.0,0.0, , , ,2.0,2.0
0,553,30132,30132,252007036,2.0,0.0,0.0,0.0,2.0,1200.0,0.274791,0.074943,DWELDAT Database,2.0,6.0,2.0,-157.053224319,21.1713141587,Molokai,Cesspool,0.0,0.0, , , ,2.0,2.0
0,565,30170,30170,254016013,2.0,0.0,0.0,0.0,2.0,600.0,0.137396,0.037471,DWELDAT Database,2.0,3.0,3.0,-156.97007885899998,21.0798521509,Molokai,Cesspool,0.0,0.0, , , ,2.0,2.0
0,604,30226,30226,254009038,2.0,0.0,0.0,0.0,2.0,800.0,0.183194,0.049962,DWELDAT Database,2.0,4.0,2.0,-156.99976038399998,21.0815658223,Molokai,Cesspool,0.0,0.0, , , ,2.0,2.0
0,619,30246,30246,252011032,2.0,0.0,0.0,0.0,2.0,1200.0,0.274791,0.074943,DWELDAT Database,2.0,6.0,2.0,-157.052814569,21.1106978538,Molokai,Cesspool,0.0,0.0, , , ,2.0,2.0
0,626,30253,30253,252013003,2.0,0.0,0.0,0.0,2.0,1200.0,0.274791,0.074943,DWELDAT Database,2.0,6.0,3.0,-157.030078317,21.177666533,Molokai,Cesspool,0.0,0.0, , , ,2.0,2.0
