,BlockBk_ID,Final_Prioity_Score,OSDS_count,Final_Cat_Ranking,Fin_Rank
0,19923,86.80615766706563,29,Low,3.0
1,19924,76.2826820085105,26,Low,3.0
6,20013,122.22015677917786,14,High,1.0
7,20014,107.38771615873091,13,High,1.0
12,20152,117.49437256459952,36,High,1.0
18,20335,121.76908751926459,18,High,1.0
19,20336,108.91285588847713,34,High,1.0
21,20341,76.4774980184171,37,Low,3.0
22,20345,97.37651030539989,64,Medium,2.0
26,20370,46.181417914816635,13,Low,3.0
29,20408,87.46904669555235,7,Low,3.0
34,20418,106.99636748285326,12,High,1.0
35,20510,82.12680148406305,8,Low,3.0
38,20641,45.21325319684226,6,Low,3.0
43,20720,52.86187514908186,9,Low,3.0
49,20813,62.087584629070506,63,Low,3.0
50,20814,52.92645933699052,12,Low,3.0
56,20989,39.955902793006565,12,Low,3.0
58,21181,118.99085876331442,23,High,1.0
59,21183,96.468641945063,18,Medium,2.0
60,21209,49.44968135859614,17,Low,3.0
61,21211,43.284756804024,8,Low,3.0
63,21213,44.08330665627963,9,Low,3.0
69,21334,50.769750749230575,19,Low,3.0
71,21424,118.86459032610966,8,High,1.0
72,21427,84.45633969138082,7,Low,3.0
73,21429,101.08067045955272,11,Medium,2.0
74,21431,100.57999874149586,19,Medium,2.0
76,21498,111.28056120540903,26,High,1.0
77,21506,109.14251608079361,31,High,1.0
82,21596,79.15623178039782,29,Low,3.0
89,21768,129.40583781113477,16,High,1.0
98,21894,42.372058404388866,6,Low,3.0
99,21897,63.87965964945928,33,Low,3.0
103,22114,89.28310436001496,8,Medium,2.0
106,22119,96.3299738038946,13,Medium,2.0
107,22121,99.31017202442041,16,Medium,2.0
108,22122,105.36973767696361,34,Medium,2.0
117,22551,87.85663200463712,95,Medium,2.0
119,22764,103.67838325667785,23,Medium,2.0
120,22769,89.95516352510158,38,Medium,2.0
123,22794,52.65147254595379,10,Low,3.0
125,22801,38.831187075663095,10,Low,3.0
135,23021,55.11797679498108,57,Low,3.0
148,23594,51.10681107344613,23,Low,3.0
152,23735,100.46171179213185,9,Medium,2.0
153,23739,113.31944134457616,7,High,1.0
