,Uid,Coral_rank
0,-157.13194_21.14422,2
1,-157.25780_21.14791,3
2,-157.24613_21.19028,2
3,-157.20856_21.15703,2
4,-157.21922_21.17738,1
5,-157.21093_21.17253,1
6,-157.20814_21.16662,1
7,-157.24633_21.18319,1
8,-157.24587_21.18317,1
9,-157.24543_21.18312,1
10,-157.24389_21.18321,1
11,-157.24301_21.18322,1
12,-157.22836_21.17295,1
13,-157.22915_21.17232,1
14,-157.25752_21.16708,4
15,-157.25225_21.17288,2
16,-157.23650_21.18016,1
17,-157.24170_21.18236,1
18,-157.23469_21.18124,1
19,-157.23121_21.17582,1
20,-157.23136_21.17679,1
21,-157.23181_21.17986,1
22,-157.23348_21.17754,1
23,-157.23346_21.17572,1
24,-157.27220_21.15726,3
25,-157.27072_21.15325,3
26,-157.26758_21.15938,4
27,-157.26660_21.15993,4
28,-157.26175_21.16380,4
29,-156.98750_21.07828,3
30,-156.98726_21.07819,3
31,-156.98642_21.07789,3
32,-156.98697_21.07781,3
33,-156.98728_21.07744,3
34,-156.98824_21.07720,3
35,-156.98806_21.07713,3
36,-156.98814_21.07745,3
37,-156.98796_21.07792,3
38,-156.98781_21.07782,3
39,-157.00002_21.08562,2
40,-157.00017_21.08539,2
41,-157.00031_21.08518,2
42,-157.00043_21.08498,2
43,-157.00078_21.08444,2
44,-157.00089_21.08427,2
45,-156.99628_21.08483,2
46,-156.99612_21.08507,2
47,-156.99580_21.08554,2
48,-156.99588_21.08630,2
49,-156.98738_21.07707,3
50,-156.98773_21.07739,3
51,-156.98855_21.07734,3
52,-156.98868_21.07753,3
53,-156.98881_21.07786,3
54,-157.10458_21.16571,2
55,-157.09902_21.16447,2
56,-157.10404_21.14645,2
57,-157.07005_21.14893,2
58,-157.07164_21.14981,2
59,-157.05835_21.17505,2
60,-157.05894_21.17629,2
61,-157.05935_21.17527,2
62,-157.05927_21.17575,2
63,-156.98901_21.07795,3
64,-156.98876_21.07856,3
65,-156.98854_21.07856,3
66,-156.99727_21.08526,2
67,-156.99738_21.08476,2
68,-156.99775_21.08421,2
69,-156.99801_21.08400,2
70,-156.99819_21.08371,2
71,-157.08150_21.15589,2
72,-157.08349_21.15446,2
73,-157.11548_21.17975,2
74,-157.11353_21.18030,2
75,-157.08203_21.18424,3
76,-157.08359_21.18458,3
77,-157.08543_21.18104,3
78,-157.06544_21.15892,3
79,-156.95489_21.06662,2
80,-156.95508_21.06664,2
81,-156.95531_21.06666,2
82,-156.95592_21.06668,2
83,-156.95629_21.06669,2
84,-156.95462_21.06733,2
85,-156.95265_21.06691,2
86,-156.95364_21.06646,2
87,-157.28756_21.14135,4
88,-157.07443_21.15027,2
89,-157.06373_21.16454,3
90,-157.07261_21.16906,3
91,-157.07323_21.17329,3
92,-157.07480_21.17363,3
93,-157.07637_21.17397,3
94,-157.07803_21.17374,3
95,-157.07948_21.17452,3
96,-157.08099_21.17490,3
97,-157.08246_21.17534,3
98,-157.06868_21.17164,3
99,-157.06922_21.16945,3
100,-157.07747_21.17752,3
101,-157.07009_21.16708,3
102,-157.07035_21.16475,3
103,-157.07058_21.16381,3
104,-157.07134_21.16069,3
105,-157.07103_21.15953,3
106,-157.07140_21.15960,3
107,-157.07178_21.15969,3
108,-157.07216_21.15976,3
109,-157.07218_21.16387,3
110,-157.07375_21.16420,3
111,-157.07646_21.16490,3
112,-157.07593_21.16877,3
113,-157.07941_21.16132,3
114,-157.08003_21.16555,3
115,-157.08252_21.16217,3
116,-157.08066_21.16978,3
117,-157.08318_21.16622,3
118,-156.86999_21.05081,1
119,-156.87096_21.05074,1
120,-157.00100_21.08410,2
121,-157.00110_21.08394,2
122,-157.00130_21.08364,2
123,-157.00150_21.08333,2
124,-157.00160_21.08317,2
125,-157.00170_21.08302,2
126,-157.00180_21.08287,2
127,-157.00210_21.08241,2
128,-157.00220_21.08225,2
129,-157.00227_21.08189,2
130,-157.00318_21.08174,2
131,-157.00341_21.08185,2
132,-157.00309_21.08224,2
133,-157.09556_21.14667,2
134,-157.12755_21.14364,2
135,-157.11619_21.15212,2
136,-157.09711_21.16406,2
137,-157.10089_21.16492,2
138,-157.07593_21.15079,2
139,-157.07827_21.15148,3
140,-157.06701_21.15771,3
141,-157.06861_21.15797,3
142,-157.07200_21.15066,2
143,-157.07194_21.15851,3
144,-157.07360_21.15888,3
145,-157.07527_21.15923,3
146,-157.07867_21.15249,2
147,-157.08341_21.15778,2
148,-157.08080_21.15855,3
149,-157.08163_21.16030,3
150,-157.08261_21.16087,3
151,-157.09087_21.16281,3
152,-157.09301_21.16322,2
153,-157.09674_21.15794,2
154,-157.08416_21.16128,3
155,-157.08933_21.16006,2
156,-157.09575_21.15778,2
157,-157.08719_21.15855,2
158,-157.08086_21.15942,3
159,-157.08181_21.15376,2
160,-157.08184_21.15496,2
161,-156.95257_21.06707,2
162,-156.95249_21.06722,2
163,-156.95242_21.06738,2
164,-156.95232_21.06753,2
165,-156.95223_21.06776,2
166,-156.95193_21.06780,2
167,-156.95166_21.06782,2
168,-156.95161_21.06765,2
169,-156.95186_21.06738,2
170,-156.95204_21.06722,2
171,-156.95180_21.06721,2
172,-156.95155_21.06727,2
173,-156.95156_21.06707,2
174,-156.95165_21.06681,2
175,-156.95186_21.06677,2
176,-156.95207_21.06684,2
177,-156.95225_21.06609,2
178,-156.95207_21.06601,2
179,-156.95362_21.06737,2
180,-156.94586_21.07134,2
181,-156.93975_21.07173,1
182,-156.76197_21.09679,2
183,-156.76287_21.09747,2
184,-156.76363_21.09848,2
185,-157.00741_21.16127,3
186,-157.00769_21.16119,3
187,-157.05891_21.17517,2
188,-157.06179_21.17893,2
189,-157.06326_21.18022,2
190,-157.06483_21.18059,2
191,-157.05941_21.17631,2
192,-157.05985_21.17731,2
193,-157.06076_21.17765,2
194,-157.06090_21.17688,2
195,-157.06107_21.17648,2
196,-157.06031_21.17636,2
197,-157.05991_21.17547,2
198,-157.00697_21.16215,3
199,-157.00687_21.16186,3
200,-157.00669_21.16195,3
201,-157.00653_21.16204,3
202,-157.00676_21.16228,3
203,-157.00675_21.16256,2
204,-157.00607_21.16231,3
205,-157.00554_21.16218,3
206,-157.00556_21.16198,3
207,-157.00579_21.16191,3
208,-157.00597_21.16181,3
209,-156.97902_21.07264,3
210,-156.97856_21.07244,3
211,-156.97779_21.07208,3
212,-156.97743_21.07189,3
213,-156.98923_21.07688,3
214,-156.98888_21.07686,3
215,-157.06210_21.16463,3
216,-157.06519_21.16514,3
217,-157.06656_21.16647,3
218,-157.06882_21.16369,3
219,-157.04613_21.16245,3
220,-157.06121_21.17479,2
221,-157.06346_21.17201,3
222,-157.06472_21.17397,2
223,-157.06586_21.17588,2
224,-157.04328_21.16448,3
225,-157.00406_21.16160,2
226,-157.00311_21.16169,2
227,-157.00333_21.16198,2
228,-157.00368_21.16239,2
229,-157.00388_21.16229,2
230,-157.00425_21.16210,2
231,-157.00443_21.16201,2
232,-157.00631_21.16162,3
233,-157.00647_21.16153,2
234,-157.00520_21.16214,2
235,-157.00529_21.16230,2
236,-157.00547_21.16261,3
237,-157.00556_21.16277,3
238,-156.99814_21.08295,2
239,-157.00460_21.16186,2
240,-157.00488_21.16254,3
241,-157.00408_21.16278,2
242,-157.00419_21.16303,2
243,-157.00376_21.16340,3
244,-157.00434_21.16375,3
245,-157.00416_21.16344,3
246,-157.00483_21.16353,3
247,-157.00476_21.16333,3
248,-157.00469_21.16316,3
249,-157.00555_21.16355,2
250,-157.00567_21.16376,2
251,-157.00578_21.16396,2
252,-157.00556_21.16401,3
253,-157.00538_21.16370,3
254,-157.00522_21.16378,3
255,-157.00540_21.16409,2
256,-157.00491_21.16393,3
257,-157.00509_21.16424,2
258,-157.00481_21.16418,2
259,-157.00414_21.16427,2
260,-157.00435_21.16454,2
261,-157.00459_21.16481,3
262,-157.00489_21.16479,3
263,-157.00547_21.16464,3
264,-157.00592_21.16462,3
265,-157.00575_21.16438,3
266,-157.00603_21.16426,3
267,-157.00616_21.16454,3
268,-157.00505_21.16292,3
269,-157.05414_21.17199,2
270,-157.06280_21.16713,3
271,-157.06308_21.16722,3
272,-157.06338_21.16727,3
273,-157.06367_21.16735,3
274,-157.05438_21.17224,2
275,-157.05462_21.17249,2
276,-157.05489_21.17273,2
277,-157.05513_21.17299,2
278,-157.03023_21.09296,2
279,-157.03305_21.09458,2
280,-157.03387_21.09496,2
281,-157.07721_21.18321,3
282,-157.07877_21.18354,3
283,-157.07478_21.17968,3
284,-157.06762_21.17599,2
285,-157.07008_21.17262,3
286,-157.07129_21.17273,3
287,-157.07016_21.17654,3
288,-157.07045_21.17660,3
289,-157.07074_21.17666,3
290,-157.07104_21.17672,3
291,-157.07133_21.17679,3
292,-157.08469_21.16657,3
293,-157.08606_21.16793,3
294,-157.08786_21.16719,3
295,-157.08844_21.17135,3
296,-157.09097_21.16782,3
297,-157.09252_21.16821,3
298,-157.09504_21.16464,3
299,-157.07518_21.16508,3
300,-157.03453_21.09521,2
301,-157.02861_21.09604,2
302,-157.03177_21.09674,2
303,-157.03387_21.09658,2
304,-157.04190_21.09985,3
305,-157.04395_21.10145,3
306,-157.04702_21.10328,3
307,-157.04836_21.10315,3
308,-157.04870_21.10500,3
309,-157.04969_21.10587,3
310,-157.04145_21.10320,3
311,-157.04297_21.10333,3
312,-157.04397_21.10364,3
313,-157.04511_21.10404,3
314,-157.04587_21.10469,3
315,-157.04715_21.10509,3
316,-156.99801_21.08314,2
317,-156.99752_21.08390,2
318,-156.99739_21.08409,2
319,-156.99713_21.08446,2
320,-156.99701_21.08465,2
321,-156.99687_21.08485,2
322,-156.99658_21.08527,2
323,-156.99621_21.08582,2
324,-156.99862_21.08139,2
325,-156.99822_21.08195,2
326,-156.99810_21.08214,2
327,-156.99797_21.08233,2
328,-156.99784_21.08252,2
329,-156.99772_21.08271,2
330,-156.99747_21.08308,2
331,-156.99735_21.08327,2
332,-156.99704_21.08340,2
333,-156.99692_21.08357,2
334,-156.99669_21.08381,2
335,-156.99684_21.08402,2
336,-156.99671_21.08420,2
337,-156.99658_21.08439,2
338,-156.98834_21.07849,3
339,-156.98783_21.07813,3
340,-156.98773_21.07839,3
341,-156.98755_21.07805,3
342,-156.98738_21.07798,3
343,-156.98685_21.07802,3
344,-156.98655_21.07763,3
345,-156.98645_21.07850,3
346,-156.98667_21.07856,3
347,-156.98688_21.07864,3
348,-156.98735_21.07867,3
349,-157.00588_21.16273,3
350,-157.00612_21.16270,3
351,-157.00625_21.16290,3
352,-157.06633_21.18101,2
353,-157.06786_21.18123,2
354,-157.06942_21.18156,2
355,-157.07098_21.18190,2
356,-157.07255_21.18223,3
357,-157.07566_21.18292,3
358,-156.85161_21.05797,2
359,-156.87697_21.04899,1
360,-156.87755_21.04803,1
361,-156.87726_21.04898,1
362,-156.76117_21.09520,2
363,-156.76187_21.09609,2
364,-156.76199_21.09639,2
365,-156.98789_21.07911,3
366,-156.98706_21.07882,3
367,-157.00248_21.08288,2
368,-157.00237_21.08303,2
369,-157.00226_21.08318,2
370,-157.00215_21.08333,2
371,-157.00204_21.08347,2
372,-157.00193_21.08362,2
373,-157.00161_21.08407,2
374,-157.00138_21.08437,2
375,-157.00115_21.08468,2
376,-157.00103_21.08485,2
377,-157.00090_21.08503,2
378,-157.00076_21.08522,2
379,-157.00061_21.08541,2
380,-157.00046_21.08562,2
381,-157.00030_21.08585,2
382,-157.00013_21.08608,2
383,-156.95339_21.06640,2
384,-156.95436_21.06659,2
385,-156.95454_21.06661,2
386,-156.95471_21.06662,2
387,-156.79584_21.07375,3
388,-157.09732_21.16916,3
389,-157.09888_21.16950,2
390,-157.08724_21.16317,3
391,-157.08664_21.17198,3
392,-157.08726_21.17619,3
393,-156.76241_21.09543,2
394,-156.77030_21.09000,2
395,-156.77278_21.08783,2
396,-156.77363_21.08723,3
397,-156.77535_21.08943,3
398,-156.77466_21.08658,3
399,-156.79158_21.07644,3
400,-156.79130_21.07665,3
401,-156.78955_21.07762,3
402,-156.78581_21.08057,3
403,-156.79344_21.07649,3
404,-157.00011_21.16149,2
405,-157.00730_21.16189,3
406,-157.00744_21.16210,3
407,-157.00755_21.16234,3
408,-157.00739_21.16247,3
409,-157.00715_21.16255,2
410,-157.08975_21.17270,3
411,-157.09102_21.17271,3
412,-157.09193_21.17720,3
413,-157.09363_21.17756,3
414,-157.09675_21.17823,3
415,-157.09919_21.17482,3
416,-157.09778_21.18070,3
417,-157.10038_21.17677,3
418,-157.10051_21.18298,3
419,-157.10779_21.18060,2
420,-157.10935_21.18094,2
421,-157.11091_21.18127,2
422,-157.10076_21.16599,2
423,-157.10105_21.16606,2
424,-157.10134_21.16612,2
425,-157.10163_21.16618,2
426,-157.10192_21.16624,2
427,-157.10011_21.17367,3
428,-157.09982_21.17361,3
429,-157.09953_21.17355,3
430,-157.09895_21.17342,3
431,-157.10407_21.16835,2
432,-157.10525_21.17087,2
433,-157.10681_21.17120,2
434,-157.10837_21.17153,2
435,-157.10992_21.17187,2
436,-157.11139_21.17218,2
437,-157.11328_21.17635,2
438,-157.11397_21.17349,2
439,-156.97155_21.07065,3
440,-156.96346_21.06887,2
441,-156.96478_21.06915,2
442,-156.96024_21.06768,2
443,-156.75801_21.10079,2
444,-156.75281_21.10168,2
445,-156.75338_21.10124,2
446,-157.00697_21.16247,2
447,-156.98841_21.07668,3
448,-156.98821_21.07658,3
449,-156.98719_21.07612,3
450,-156.98801_21.07649,3
451,-156.97832_21.07236,3
452,-156.97811_21.07225,3
453,-156.98953_21.07709,3
454,-156.98861_21.07676,3
455,-156.98921_21.07709,3
456,-156.98747_21.07630,3
457,-156.98760_21.07619,3
458,-156.98250_21.07395,3
459,-156.98223_21.07383,3
460,-156.98197_21.07368,3
461,-156.98025_21.07313,3
462,-156.97987_21.07299,3
463,-157.01101_21.08273,3
464,-157.01126_21.08286,3
465,-157.01151_21.08300,3
466,-157.01206_21.08326,3
467,-157.01233_21.08334,3
468,-157.01263_21.08345,3
469,-157.01290_21.08353,3
470,-157.01242_21.08416,3
471,-157.01203_21.08385,3
472,-157.01178_21.08374,3
473,-157.01152_21.08362,3
474,-157.01126_21.08350,3
475,-157.01074_21.08326,3
476,-157.01049_21.08375,3
477,-157.01075_21.08388,3
478,-157.01101_21.08400,3
479,-157.01126_21.08412,3
480,-157.01152_21.08424,3
481,-157.01177_21.08436,3
482,-157.01230_21.08440,3
483,-157.01216_21.08467,3
484,-157.00911_21.08191,3
485,-157.00945_21.08203,3
486,-157.00970_21.08213,3
487,-157.00996_21.08225,3
488,-157.01021_21.08236,3
489,-157.01049_21.08251,3
490,-157.01075_21.08262,3
491,-157.01048_21.08314,3
492,-157.01022_21.08302,3
493,-157.00996_21.08290,3
494,-157.00970_21.08278,3
495,-157.00945_21.08266,3
496,-157.00919_21.08255,3
497,-157.00883_21.08237,3
498,-157.00856_21.08282,3
499,-157.00895_21.08300,3
500,-157.00921_21.08313,3
501,-157.00946_21.08325,3
502,-157.00971_21.08337,3
503,-157.00997_21.08350,3
504,-157.01022_21.08362,3
505,-156.99849_21.08352,2
506,-156.99829_21.08336,2
507,-156.99868_21.08323,2
508,-156.99886_21.08296,2
509,-156.79552_21.07381,3
510,-156.79419_21.07601,3
511,-156.79606_21.07158,3
512,-156.80277_21.07127,3
513,-156.79589_21.07464,3
514,-156.79631_21.07147,3
515,-156.80188_21.07240,3
516,-156.79894_21.07317,3
517,-156.79790_21.07365,3
518,-156.79687_21.07364,3
519,-156.80129_21.07051,3
520,-156.80416_21.06856,3
521,-156.81570_21.06772,3
522,-156.81191_21.06909,3
523,-156.80615_21.07114,3
524,-157.08974_21.18197,3
525,-157.08573_21.18110,3
526,-157.08944_21.18190,3
527,-157.08603_21.18117,3
528,-157.08633_21.18123,3
529,-157.08662_21.18131,3
530,-156.81677_21.06774,3
531,-156.81913_21.06789,3
532,-156.82418_21.06447,3
533,-157.08914_21.18184,3
534,-157.08884_21.18177,3
535,-157.08854_21.18171,3
536,-157.05218_21.16225,3
537,-157.05414_21.16241,3
538,-157.05584_21.16296,3
