,Uid,dist2_DomWells_m
0,-157.13194_21.14422,21243.972464942235
1,-157.25780_21.14791,33740.799488534045
2,-157.24613_21.19028,34153.04588002269
3,-157.20856_21.15703,29165.717768105653
4,-157.21922_21.17738,31021.89802069012
5,-157.21093_21.17253,30019.743127442885
6,-157.20814_21.16662,29502.780734961005
7,-157.24633_21.18319,33866.96427047283
8,-157.24587_21.18317,33822.262919803594
9,-157.24543_21.18312,33778.41900855283
10,-157.24389_21.18321,33633.93387970002
11,-157.24301_21.18322,33549.88573996269
12,-157.22836_21.17295,31712.847356515747
13,-157.22915_21.17232,31764.184564986637
14,-157.25752_21.16708,34333.67085874767
15,-157.25225_21.17288,34029.77868058796
16,-157.23650_21.18016,32796.20376187753
17,-157.24170_21.18236,33387.23146388568
18,-157.23469_21.18124,32667.467232813087
19,-157.23121_21.17582,32106.038756992075
20,-157.23136_21.17679,32160.033170148257
21,-157.23181_21.17986,32332.86579381294
22,-157.23348_21.17754,32395.29677921121
23,-157.23346_21.17572,32318.879775696387
24,-157.27220_21.15726,35460.81424915359
25,-157.27072_21.15325,35191.88716621056
26,-157.26758_21.15938,35067.779911123675
27,-157.26660_21.15993,34988.31623676207
28,-157.26175_21.16380,34636.56082895184
29,-156.98750_21.07828,4619.936900675736
30,-156.98726_21.07819,4593.298186057684
31,-156.98642_21.07789,4500.043571064623
32,-156.98697_21.07781,4552.971409200396
33,-156.98728_21.07744,4573.730963926706
34,-156.98824_21.07720,4664.437128555657
35,-156.98806_21.07713,4644.43921510148
36,-156.98814_21.07745,4660.734705491987
37,-156.98796_21.07792,4655.236763383251
38,-156.98781_21.07782,4638.336892225999
39,-157.00002_21.08562,6104.547721407532
40,-157.00017_21.08539,6110.613696436397
41,-157.00031_21.08518,6116.355264907761
42,-157.00043_21.08498,6121.736814337973
43,-157.00078_21.08444,6137.230340877125
44,-157.00089_21.08427,6142.5283567146935
45,-156.99628_21.08483,5708.846118761624
46,-156.99612_21.08507,5702.0759637273195
47,-156.99580_21.08554,5689.359739484555
48,-156.99588_21.08630,5726.9886695653695
49,-156.98738_21.07707,4574.132212168653
50,-156.98773_21.07739,4618.640355740904
51,-156.98855_21.07734,4699.19168655185
52,-156.98868_21.07753,4718.147890527217
53,-156.98881_21.07786,4739.744707421728
54,-157.10458_21.16571,19870.761931414454
55,-157.09902_21.16447,19313.683935727815
56,-157.10404_21.14645,18738.436167936146
57,-157.07005_21.14893,15857.65904837431
58,-157.07164_21.14981,16049.837827581334
59,-157.05835_21.17505,16788.133727002074
60,-157.05894_21.17629,16929.404849146522
61,-157.05935_21.17527,16878.906366905256
62,-157.05927_21.17575,16911.13723333544
63,-156.98901_21.07795,4762.2368319039115
64,-156.98876_21.07856,4754.43658542023
65,-156.98854_21.07856,4732.168720374669
66,-156.99727_21.08526,5822.021636454431
67,-156.99738_21.08476,5814.2031332418455
68,-156.99775_21.08421,5829.946530935203
69,-156.99801_21.08400,5848.771272330697
