,Uid,Elevation_m
0,-157.13194_21.14422,143.9859924
1,-157.25780_21.14791,79.9898987
2,-157.24613_21.19028,10.9713001
3,-157.20856_21.15703,203.4290009
4,-157.21922_21.17738,139.4100037
5,-157.21093_21.17253,141.2290039
6,-157.20814_21.16662,158.0310059
7,-157.24633_21.18319,7.1234698
8,-157.24587_21.18317,10.0693998
9,-157.24543_21.18312,12.6850996
10,-157.24389_21.18321,22.9463997
11,-157.24301_21.18322,30.6765003
12,-157.22836_21.17295,108.3089981
13,-157.22915_21.17232,100.3069992
14,-157.25752_21.16708,7.0
15,-157.25225_21.17288,4.98173
16,-157.23650_21.18016,68.3852005
17,-157.24170_21.18236,47.2761002
18,-157.23469_21.18124,80.998703
19,-157.23121_21.17582,106.7210007
20,-157.23136_21.17679,106.2570038
21,-157.23181_21.17986,89.4335022
22,-157.23348_21.17754,72.7755966
23,-157.23346_21.17572,73.6491013
24,-157.27220_21.15726,15.9588003
25,-157.27072_21.15325,37.0010986
26,-157.26758_21.15938,13.7874002
27,-157.26660_21.15993,22.2779007
28,-157.26175_21.16380,4.9365001
29,-156.98750_21.07828,20.0221004
30,-156.98726_21.07819,20.0125999
31,-156.98642_21.07789,19.9981995
32,-156.98697_21.07781,20.0
33,-156.98728_21.07744,20.0
34,-156.98824_21.07720,20.0
35,-156.98806_21.07713,20.0
36,-156.98814_21.07745,20.0
37,-156.98796_21.07792,19.9997005
38,-156.98781_21.07782,20.0
39,-157.00002_21.08562,50.1077003
40,-157.00017_21.08539,48.7914009
41,-157.00031_21.08518,45.6887016
42,-157.00043_21.08498,43.7293015
43,-157.00078_21.08444,38.2411003
44,-157.00089_21.08427,37.2886009
45,-156.99628_21.08483,53.1515007
46,-156.99612_21.08507,55.3278999
47,-156.99580_21.08554,60.1721001
48,-156.99588_21.08630,68.9237976
49,-156.98738_21.07707,20.0
50,-156.98773_21.07739,20.0
51,-156.98855_21.07734,20.0
52,-156.98868_21.07753,20.0
53,-156.98881_21.07786,20.0
54,-157.10458_21.16571,129.4880066
55,-157.09902_21.16447,138.9689941
56,-157.10404_21.14645,109.0
57,-157.07005_21.14893,164.9499969
58,-157.07164_21.14981,164.003006
59,-157.05835_21.17505,242.0
60,-157.05894_21.17629,243.8630066
61,-157.05935_21.17527,242.0010071
62,-157.05927_21.17575,243.654007
63,-156.98901_21.07795,19.9993992
64,-156.98876_21.07856,20.0900002
65,-156.98854_21.07856,20.0979004
66,-156.99727_21.08526,54.3704987
67,-156.99738_21.08476,48.9026985
68,-156.99775_21.08421,43.6414986
69,-156.99801_21.08400,42.6777992
70,-156.99819_21.08371,40.5998993
71,-157.08150_21.15589,150.0
72,-157.08349_21.15446,145.9859924
73,-157.11548_21.17975,123.1220016
74,-157.11353_21.18030,131.9519958
75,-157.08203_21.18424,149.9989929
76,-157.08359_21.18458,150.0
77,-157.08543_21.18104,162.022995
78,-157.06544_21.15892,192.7220001
79,-156.95489_21.06662,20.0
80,-156.95508_21.06664,20.0
81,-156.95531_21.06666,20.0
82,-156.95592_21.06668,20.0
83,-156.95629_21.06669,20.0
84,-156.95462_21.06733,20.0
85,-156.95265_21.06691,20.0
86,-156.95364_21.06646,20.0
87,-157.28756_21.14135,2.9804201
88,-157.07443_21.15027,162.003006
89,-157.06373_21.16454,200.0
90,-157.07261_21.16906,186.5059967
91,-157.07323_21.17329,180.2810059
92,-157.07480_21.17363,179.977005
93,-157.07637_21.17397,185.0010071
94,-157.07803_21.17374,184.0
95,-157.07948_21.17452,182.1309967
96,-157.08099_21.17490,177.5319977
97,-157.08246_21.17534,172.0059967
98,-157.06868_21.17164,190.0
99,-157.06922_21.16945,196.0899963
100,-157.07747_21.17752,175.5220032
101,-157.07009_21.16708,191.003006
102,-157.07035_21.16475,187.9909973
103,-157.07058_21.16381,189.9799957
104,-157.07134_21.16069,179.9929962
105,-157.07103_21.15953,181.0070038
106,-157.07140_21.15960,181.1130066
107,-157.07178_21.15969,181.2369995
108,-157.07216_21.15976,180.1170044
109,-157.07218_21.16387,189.8990021
110,-157.07375_21.16420,187.9589996
111,-157.07646_21.16490,178.9819946
112,-157.07593_21.16877,180.0
113,-157.07941_21.16132,167.996994
114,-157.08003_21.16555,170.9790039
115,-157.08252_21.16217,166.0
116,-157.08066_21.16978,177.9620056
117,-157.08318_21.16622,173.0189972
118,-156.86999_21.05081,11.9938002
119,-156.87096_21.05074,13.0240002
120,-157.00100_21.08410,36.2392998
121,-157.00110_21.08394,35.1240997
122,-157.00130_21.08364,33.1190987
123,-157.00150_21.08333,30.9876003
124,-157.00160_21.08317,30.9557991
125,-157.00170_21.08302,28.7933006
126,-157.00180_21.08287,26.7110004
127,-157.00210_21.08241,18.5084991
