,Uid,dist2_MunWells_m
0,-157.13194_21.14422,11407.13507279218
1,-157.25780_21.14791,24473.04598053727
2,-157.24613_21.19028,23729.019147546063
3,-157.20856_21.15703,19384.71368840635
4,-157.21922_21.17738,20725.03507899965
5,-157.21093_21.17253,19794.178301604494
6,-157.20814_21.16662,19425.76272197319
7,-157.24633_21.18319,23606.209752614726
8,-157.24587_21.18317,23559.11253282196
9,-157.24543_21.18312,23513.57596845557
10,-157.24389_21.18321,23357.340940674814
11,-157.24301_21.18322,23267.258459582732
12,-157.22836_21.17295,21593.548010941257
13,-157.22915_21.17232,21666.54559610657
14,-157.25752_21.16708,24535.919136070766
15,-157.25225_21.17288,24055.45314647374
16,-157.23650_21.18016,22545.542474198373
17,-157.24170_21.18236,23116.836923108018
18,-157.23469_21.18124,22378.518863953846
19,-157.23121_21.17582,21930.31898418138
20,-157.23136_21.17679,21960.353948593645
21,-157.23181_21.17986,22058.924021013645
22,-157.23348_21.17754,22190.368450861864
23,-157.23346_21.17572,22160.008999211575
24,-157.27220_21.15726,25988.612783513752
25,-157.27072_21.15325,25821.74999662824
26,-157.26758_21.15938,25519.79623691896
27,-157.26660_21.15993,25421.50200398924
28,-157.26175_21.16380,24945.170789458425
29,-156.98750_21.07828,4211.893559046707
30,-156.98726_21.07819,4185.2908528538255
31,-156.98642_21.07789,4092.126446555204
32,-156.98697_21.07781,4145.2995460688335
33,-156.98728_21.07744,4166.579141289108
34,-156.98824_21.07720,4257.874957603128
35,-156.98806_21.07713,4237.927424804669
36,-156.98814_21.07745,4253.821059702934
37,-156.98796_21.07792,4247.7091283951295
38,-156.98781_21.07782,4230.883360610164
39,-157.00002_21.08562,5694.4382027780475
40,-157.00017_21.08539,5700.565451767069
41,-157.00031_21.08518,5706.372227602109
42,-157.00043_21.08498,5711.820888030788
43,-157.00078_21.08444,5727.536566066156
44,-157.00089_21.08427,5732.916998908313
45,-156.99628_21.08483,5298.655305386352
46,-156.99612_21.08507,5291.8482890664345
47,-156.99580_21.08554,5279.094553093856
48,-156.99588_21.08630,5316.7466787729945
49,-156.98738_21.07707,4167.487876058549
50,-156.98773_21.07739,4211.682830055424
51,-156.98855_21.07734,4292.536028077583
52,-156.98868_21.07753,4311.286625223185
53,-156.98881_21.07786,4332.515267848975
54,-157.10458_21.16571,8785.024545851875
55,-157.09902_21.16447,8191.91668474388
56,-157.10404_21.14645,8503.595950703058
57,-157.07005_21.14893,4973.325836104416
58,-157.07164_21.14981,5142.364824217737
59,-157.05835_21.17505,4819.275068679814
60,-157.05894_21.17629,4954.112646088359
61,-157.05935_21.17527,4915.920924115093
62,-157.05927_21.17575,4943.03092144532
63,-156.98901_21.07795,4354.957996075135
64,-156.98876_21.07856,4346.42517060426
65,-156.98854_21.07856,4324.108671405879
66,-156.99727_21.08526,5411.817671017232
67,-156.99738_21.08476,5404.092159476888
68,-156.99775_21.08421,5420.008894773621
69,-156.99801_21.08400,5438.930341991474
70,-156.99819_21.08371,5447.02962601516
71,-157.08150_21.15589,6225.899083149536
72,-157.08349_21.15446,6410.869293795266
73,-157.11548_21.17975,10316.520940672171
74,-157.11353_21.18030,10147.628401049324
75,-157.08203_21.18424,7411.562533260373
76,-157.08359_21.18458,7567.630815366205
77,-157.08543_21.18104,7530.411674637133
78,-157.06544_21.15892,4659.561050774741
