,X,Y,Island,TMK,Uid
0,-157.131945515,21.144227322,Molokai,251002036,-157.13194_21.14422
1,-157.257805957,21.1479159589,Molokai,251002044,-157.25780_21.14791
2,-157.246135832,21.1902878931,Molokai,251003011,-157.24613_21.19028
3,-157.208562065,21.1570360599,Molokai,251004008,-157.20856_21.15703
4,-157.219229951,21.1773825601,Molokai,251004020,-157.21922_21.17738
5,-157.210939878,21.1725311087,Molokai,251004023,-157.21093_21.17253
6,-157.208142182,21.166625641,Molokai,251004027,-157.20814_21.16662
7,-157.24633015,21.1831919436,Molokai,251005001,-157.24633_21.18319
8,-157.245873819,21.1831720788,Molokai,251005003,-157.24587_21.18317
9,-157.245437168,21.1831273723,Molokai,251005005,-157.24543_21.18312
10,-157.243896021,21.1832124341,Molokai,251005012,-157.24389_21.18321
11,-157.243012908,21.1832299351,Molokai,251005016,-157.24301_21.18322
12,-157.228361333,21.1729541042,Molokai,251006007,-157.22836_21.17295
13,-157.22915496,21.172329431,Molokai,251006008,-157.22915_21.17232
14,-157.257528248,21.1670862932,Molokai,251006063,-157.25752_21.16708
15,-157.252253325,21.1728862093,Molokai,251006072,-157.25225_21.17288
16,-157.236508845,21.1801664802,Molokai,251006109,-157.23650_21.18016
17,-157.24170008,21.1823621559,Molokai,251006114,-157.24170_21.18236
18,-157.234690528,21.1812457486,Molokai,251006124,-157.23469_21.18124
19,-157.23121867,21.1758200441,Molokai,251006140,-157.23121_21.17582
20,-157.231360956,21.1767915874,Molokai,251006141,-157.23136_21.17679
21,-157.231814524,21.1798623519,Molokai,251006145,-157.23181_21.17986
22,-157.233481594,21.1775410465,Molokai,251006148,-157.23348_21.17754
23,-157.233466572,21.1757262406,Molokai,251006150,-157.23346_21.17572
24,-157.272200937,21.1572614522,Molokai,251007032,-157.27220_21.15726
25,-157.27072669,21.1532579356,Molokai,251007041,-157.27072_21.15325
26,-157.267581614,21.1593834472,Molokai,251007053,-157.26758_21.15938
27,-157.266604184,21.1599320664,Molokai,251007054,-157.26660_21.15993
28,-157.261755562,21.1638096991,Molokai,251007064,-157.26175_21.16380
29,-156.987506446,21.078286925,Molokai,254011050,-156.98750_21.07828
30,-156.987268011,21.0781928714,Molokai,254011051,-156.98726_21.07819
31,-156.98642297,21.0778990592,Molokai,254011052,-156.98642_21.07789
32,-156.986974119,21.0778138653,Molokai,254011053,-156.98697_21.07781
33,-156.987280454,21.0774492151,Molokai,254011054,-156.98728_21.07744
