,Uid,InSLR2100
0,-156.74678_21.15476,True
1,-156.75328_21.10124,True
2,-156.75338_21.10124,True
3,-156.77115_21.08855,True
4,-156.77127_21.08811,True
5,-156.77278_21.08783,True
6,-156.77363_21.08723,True
7,-156.77466_21.08658,True
8,-156.79130_21.07665,True
9,-156.79158_21.07644,True
10,-156.79221_21.07581,True
11,-156.79440_21.07283,True
12,-156.79450_21.07283,True
13,-156.79519_21.07271,True
14,-156.79556_21.07301,True
15,-156.79582_21.07203,True
16,-156.79606_21.07158,True
17,-156.79619_21.07283,True
18,-156.79629_21.07283,True
19,-156.79631_21.07147,True
20,-156.80936_21.06865,True
21,-156.81191_21.06909,True
22,-156.81570_21.06772,True
23,-156.82251_21.06446,True
24,-156.82295_21.06368,True
25,-156.82305_21.06368,True
26,-156.82321_21.06349,True
27,-156.82436_21.06436,True
28,-156.82459_21.06417,True
29,-156.82464_21.06374,True
30,-156.82474_21.06367,True
31,-156.82563_21.06120,True
32,-156.83218_21.06284,True
33,-156.83272_21.05990,True
34,-156.83282_21.05990,True
35,-156.83346_21.05925,True
36,-156.83348_21.05817,True
37,-156.83413_21.05861,True
38,-156.83428_21.05743,True
39,-156.83429_21.05851,True
40,-156.83517_21.05610,True
41,-156.84254_21.05839,True
42,-156.84298_21.05842,True
43,-156.84924_21.05773,True
44,-156.85161_21.05797,True
45,-156.86385_21.05237,True
46,-156.86753_21.05187,True
47,-156.87024_21.05222,True
48,-156.87200_21.05260,True
49,-156.87754_21.04718,True
50,-156.95207_21.06601,True
51,-156.95225_21.06609,True
52,-156.95339_21.06640,True
53,-156.95364_21.06646,True
54,-156.95508_21.06664,True
55,-156.95723_21.06685,True
56,-156.96425_21.06893,True
57,-156.96478_21.06915,True
58,-156.96632_21.06943,True
59,-156.96784_21.07005,True
60,-156.96997_21.07051,True
61,-156.97043_21.07056,True
62,-156.97063_21.07059,True
63,-156.97106_21.07062,True
64,-156.97902_21.07264,True
65,-156.97987_21.07299,True
66,-156.98119_21.07335,True
