,BlockBk_ID,Final_Prioity_Score,OSDS_count,In_2017_CP_zone,Final_Cat_Ranking,Fin_Rank
1,19923,121.4981310010525,28,False,Medium,2.0
2,19924,86.82371771044323,26,False,Low,3.0
7,20013,136.3796895317318,14,False,High,1.0
8,20014,123.34719723706623,12,False,Medium,2.0
13,20152,149.04670463232526,36,False,High,1.0
19,20335,142.11520422839726,18,False,High,1.0
20,20336,129.75981551906446,34,False,Medium,2.0
22,20341,101.44096878694045,37,False,Medium,2.0
23,20345,92.81849251445591,64,False,Low,3.0
27,20370,45.76517585739206,13,False,Low,3.0
35,20418,145.45812537323607,12,False,High,1.0
50,20813,74.3081341224186,63,False,Low,3.0
51,20814,52.13232922234718,12,False,Low,3.0
57,20989,45.94031475885794,12,False,Low,3.0
59,21181,138.8492622470888,23,False,High,1.0
60,21183,105.06318196946839,18,False,Medium,2.0
61,21209,48.8525236169365,17,False,Low,3.0
70,21334,53.621321240283535,19,False,Low,3.0
74,21429,144.13580477560456,11,False,High,1.0
75,21431,93.97844902519422,19,False,Low,3.0
77,21498,112.43523541138345,26,False,Medium,2.0
78,21506,120.64789320468626,31,False,Medium,2.0
83,21596,85.81753331499903,29,False,Low,3.0
90,21768,146.7891268650858,16,False,High,1.0
100,21897,75.41496358427986,33,False,Low,3.0
107,22119,133.01730069447993,13,False,Medium,2.0
108,22121,91.97970496807015,16,False,Low,3.0
109,22122,99.9942708165737,34,False,Low,3.0
118,22551,83.9649922293469,95,False,Low,3.0
120,22764,137.0882198308561,23,False,High,1.0
121,22769,104.2679568563897,38,False,Medium,2.0
136,23021,59.23046470041601,57,False,Low,3.0
149,23594,53.36209048698191,23,False,Low,3.0
